35, Private,194690, 7th-8th,4, Divorced, Tech-support, Unmarried, White
28, Private,132686, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
49, Local-gov,149210, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, Black
27, Private,245661, HS-grad,9, Separated, Machine-op-inspct, Own-child, White
47, Self-emp-inc,483596, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
42, State-gov,104663, Doctorate,16, Never-married, Exec-managerial, Not-in-family, White
30, Private,347166, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White
37, Local-gov,108540, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
37, Private,333305, Doctorate,16, Married-civ-spouse, Prof-specialty, Wife, White
51, Private,155408, HS-grad,9, Married-spouse-absent, Sales, Not-in-family, Black
27, Federal-gov,246372, HS-grad,9, Married-civ-spouse, Other-service, Husband, White
53, Private,30290, HS-grad,9, Never-married, Sales, Not-in-family, White
45, Private,347321, HS-grad,9, Never-married, Craft-repair, Not-in-family, White
37, Self-emp-inc,205852, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
40, Federal-gov,163215, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
54, State-gov,93449, Masters,14, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander
47, Self-emp-inc,116927, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
35, Private,164526, HS-grad,9, Married-civ-spouse, Other-service, Husband, White
33, Private,31573, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
28, Local-gov,125159, Some-college,10, Never-married, Adm-clerical, Other-relative, Black
39, State-gov,201105, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White
25, ?,122745, HS-grad,9, Never-married, ?, Own-child, White
33, Private,150570, Bachelors,13, Married-civ-spouse, Sales, Husband, White
34, Private,118941, 11th,7, Never-married, Other-service, Not-in-family, White
53, Private,141388, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
21, Private,174714, Assoc-acdm,12, Never-married, Adm-clerical, Own-child, White
31, State-gov,75755, Doctorate,16, Married-civ-spouse, Exec-managerial, Husband, White
63, Private,133144, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White
21, Self-emp-not-inc,318865, Some-college,10, Never-married, Other-service, Own-child, White
59, Private,109638, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
50, Private,92969, 1st-4th,2, Separated, Prof-specialty, Unmarried, Black
66, ?,376028, HS-grad,9, Married-civ-spouse, ?, Wife, White
19, Private,144161, HS-grad,9, Never-married, Transport-moving, Own-child, White
31, Private,183778, Bachelors,13, Never-married, Tech-support, Not-in-family, White
23, Private,398904, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White
45, Private,170846, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Wife, White
35, Local-gov,204277, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
32, Private,205152, Bachelors,13, Never-married, Craft-repair, Own-child, White
20, Private,225395, 7th-8th,4, Never-married, Machine-op-inspct, Other-relative, White
38, Private,33975, HS-grad,9, Married-civ-spouse, Exec-managerial, Other-relative, White
49, Private,147032, HS-grad,9, Married-civ-spouse, Other-service, Wife, Asian-Pac-Islander
64, Private,174826, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White
60, Local-gov,232769, 11th,7, Married-civ-spouse, Transport-moving, Husband, White
25, Private,36984, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
21, Private,292264, HS-grad,9, Never-married, Craft-repair, Not-in-family, White
26, Private,303973, HS-grad,9, Never-married, Priv-house-serv, Other-relative, White
23, Private,287988, Some-college,10, Never-married, Adm-clerical, Not-in-family, White
67, Self-emp-inc,330144, Masters,14, Married-civ-spouse, Sales, Husband, White
24, Private,191948, HS-grad,9, Divorced, Sales, Unmarried, White
46, Private,324601, 1st-4th,2, Separated, Machine-op-inspct, Own-child, White
38, State-gov,200289, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander
20, Private,113307, 7th-8th,4, Never-married, Machine-op-inspct, Other-relative, White
28, ?,194087, Some-college,10, Never-married, ?, Other-relative, White
26, Private,155213, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
58, Private,175127, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
31, State-gov,358461, Some-college,10, Never-married, Other-service, Not-in-family, Asian-Pac-Islander
37, State-gov,354929, Assoc-acdm,12, Divorced, Protective-serv, Not-in-family, Black
53, State-gov,104501, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White
45, Private,112929, 7th-8th,4, Divorced, Machine-op-inspct, Not-in-family, Black
33, Private,132832, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White
33, State-gov,357691, Masters,14, Married-civ-spouse, Protective-serv, Husband, Black
35, Private,114605, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White
60, Self-emp-not-inc,525878, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, Black
21, Private,68358, Some-college,10, Never-married, Sales, Own-child, White
38, Private,174571, 10th,6, Married-civ-spouse, Craft-repair, Husband, Black
40, Private,42703, Assoc-voc,11, Divorced, Craft-repair, Unmarried, White
40, Private,220589, Some-college,10, Married-civ-spouse, Sales, Wife, White
44, Self-emp-not-inc,197558, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
27, Private,423250, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
34, Self-emp-not-inc,29254, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
20, ?,308924, Some-college,10, Never-married, ?, Own-child, White
49, Local-gov,276247, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White
37, Private,213841, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
52, Private,181677, 10th,6, Married-civ-spouse, Transport-moving, Husband, White
46, Private,160061, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, Black
20, Private,285295, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, Asian-Pac-Islander
43, Private,265266, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
46, Local-gov,222115, Bachelors,13, Divorced, Adm-clerical, Not-in-family, White
25, State-gov,194954, Some-college,10, Married-civ-spouse, Other-service, Wife, White
48, Private,156926, Bachelors,13, Divorced, Adm-clerical, Not-in-family, White
36, Local-gov,217414, Some-college,10, Divorced, Protective-serv, Unmarried, White
37, Private,538443, HS-grad,9, Divorced, Craft-repair, Not-in-family, White
18, ?,192399, Some-college,10, Never-married, ?, Own-child, White
42, Private,383493, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
60, Private,193235, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White
37, Self-emp-inc,99452, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White
44, Local-gov,254134, Assoc-acdm,12, Divorced, Tech-support, Not-in-family, Black
32, Private,90446, 10th,6, Married-civ-spouse, Craft-repair, Husband, White
29, Private,116613, Bachelors,13, Never-married, Adm-clerical, Own-child, White
42, Local-gov,238188, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
17, Private,95909, 11th,7, Never-married, Handlers-cleaners, Own-child, White
41, Private,82319, 12th,8, Married-civ-spouse, Other-service, Wife, White
34, Private,182274, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White
56, Private,179625, 10th,6, Separated, Other-service, Unmarried, White
28, Private,119793, Some-college,10, Never-married, Adm-clerical, Own-child, White
28, Self-emp-not-inc,254989, 11th,7, Never-married, Sales, Own-child, White
19, Private,104830, 7th-8th,4, Never-married, Transport-moving, Unmarried, White
49, Federal-gov,110373, Some-college,10, Married-civ-spouse, Tech-support, Husband, White
36, Self-emp-not-inc,135416, Some-college,10, Married-civ-spouse, Other-service, Wife, White
25, Private,298225, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White
42, Private,166740, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White
47, Self-emp-not-inc,213668, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
26, Private,276624, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White
35, Private,226789, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
37, Private,31023, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
39, Local-gov,116666, HS-grad,9, Never-married, Protective-serv, Own-child, Amer-Indian-Eskimo
42, Private,136986, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
41, Private,179580, Some-college,10, Divorced, Other-service, Not-in-family, White
23, Private,103277, Some-college,10, Divorced, Other-service, Own-child, White
31, Federal-gov,351141, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White
36, Local-gov,191161, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White
20, Private,148709, Some-college,10, Never-married, Prof-specialty, Unmarried, White
36, Private,128382, Some-college,10, Never-married, Machine-op-inspct, Unmarried, White
50, Private,144361, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
37, Private,172538, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White
25, Private,102476, Bachelors,13, Never-married, Farming-fishing, Own-child, White
39, Private,46028, Some-college,10, Divorced, Other-service, Unmarried, White
32, Private,198452, HS-grad,9, Married-civ-spouse, Farming-fishing, Wife, White
59, Private,193895, Some-college,10, Widowed, Adm-clerical, Not-in-family, White
29, Private,233421, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White
50, Private,378747, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black
42, Private,31251, Assoc-voc,11, Married-civ-spouse, Sales, Husband, White
32, Private,71540, Some-college,10, Divorced, Prof-specialty, Not-in-family, White
48, Private,194772, Assoc-acdm,12, Married-civ-spouse, Sales, Husband, White
20, Private,34568, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
50, Self-emp-not-inc,36480, 10th,6, Divorced, Craft-repair, Not-in-family, White
18, Private,116528, Some-college,10, Never-married, Craft-repair, Not-in-family, White
60, Private,52152, Masters,14, Never-married, Prof-specialty, Not-in-family, White
60, Private,216690, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White
42, Local-gov,227065, Masters,14, Never-married, Prof-specialty, Not-in-family, White
49, Private,84013, HS-grad,9, Divorced, Other-service, Unmarried, White
35, Self-emp-inc,82051, Some-college,10, Married-civ-spouse, Sales, Wife, White
30, Self-emp-not-inc,176185, Assoc-acdm,12, Married-civ-spouse, Sales, Husband, White
59, Private,115414, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
24, Self-emp-inc,493034, HS-grad,9, Never-married, Other-service, Not-in-family, Black
55, Private,354923, Assoc-acdm,12, Divorced, Adm-clerical, Unmarried, White
19, Private,393712, HS-grad,9, Never-married, Adm-clerical, Own-child, White
39, Private,98941, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
48, Private,141483, Some-college,10, Divorced, Exec-managerial, Unmarried, White
44, Private,172479, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
21, Private,226145, Some-college,10, Never-married, Handlers-cleaners, Own-child, White
23, Private,394612, Bachelors,13, Never-married, Tech-support, Own-child, Black
22, Private,231085, Some-college,10, Never-married, Other-service, Own-child, White
55, Self-emp-not-inc,183810, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
19, Private,186159, Some-college,10, Never-married, Sales, Not-in-family, White
23, Private,162282, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White
46, Private,219021, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
23, Private,273206, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White
47, Self-emp-inc,332355, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
23, Private,102729, Some-college,10, Never-married, Sales, Own-child, White
42, Private,198096, Some-college,10, Married-civ-spouse, Other-service, Husband, White
22, State-gov,292933, Bachelors,13, Never-married, Adm-clerical, Own-child, White
18, Private,135924, HS-grad,9, Never-married, Adm-clerical, Own-child, White
37, Private,99146, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
34, Private,27409, 9th,5, Married-civ-spouse, Craft-repair, Husband, White
30, Private,299507, Assoc-acdm,12, Separated, Other-service, Unmarried, White
62, Self-emp-not-inc,102631, Some-college,10, Widowed, Farming-fishing, Unmarried, White
51, Private,153486, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White
34, Private,434292, HS-grad,9, Married-civ-spouse, Other-service, Husband, Black
28, Self-emp-not-inc,240172, Masters,14, Never-married, Prof-specialty, Own-child, White
56, Private,219426, 10th,6, Never-married, Handlers-cleaners, Not-in-family, White
46, Private,295791, HS-grad,9, Divorced, Tech-support, Not-in-family, White
46, Private,114032, Some-college,10, Married-civ-spouse, Tech-support, Husband, White
23, Local-gov,496382, Some-college,10, Married-spouse-absent, Adm-clerical, Own-child, White
33, Private,376483, Bachelors,13, Married-civ-spouse, Adm-clerical, Wife, Black
27, Private,107218, HS-grad,9, Never-married, Other-service, Own-child, Asian-Pac-Islander
21, Private,246207, Some-college,10, Never-married, Adm-clerical, Own-child, Black
18, ?,80564, HS-grad,9, Never-married, ?, Own-child, White
36, Private,83089, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Husband, White
37, Local-gov,328301, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White
39, Local-gov,301614, 11th,7, Married-civ-spouse, Other-service, Husband, White
36, Private,199739, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
24, Private,180060, Assoc-acdm,12, Never-married, Craft-repair, Not-in-family, White
26, Private,121040, Assoc-acdm,12, Never-married, Exec-managerial, Own-child, Black
37, Private,125550, HS-grad,9, Divorced, Sales, Not-in-family, White
34, Private,170772, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
33, Private,180551, HS-grad,9, Divorced, Exec-managerial, Unmarried, White
33, Self-emp-not-inc,48189, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White
20, Private,432154, HS-grad,9, Never-married, Sales, Own-child, White
26, Private,263200, Some-college,10, Divorced, Adm-clerical, Unmarried, White
47, Private,123207, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White
17, Private,110798, 11th,7, Never-married, Sales, Own-child, White
53, Private,238481, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White
31, Private,185528, Some-college,10, Divorced, Sales, Own-child, White
34, Private,181311, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, White
23, Private,528616, 5th-6th,3, Married-civ-spouse, Other-service, Husband, White
39, Private,272950, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White
22, ?,195532, HS-grad,9, Never-married, ?, Own-child, White
21, Private,197583, Some-college,10, Never-married, Adm-clerical, Own-child, White
40, Private,48612, HS-grad,9, Never-married, Adm-clerical, Unmarried, Black
54, Local-gov,31533, Masters,14, Married-civ-spouse, Adm-clerical, Husband, White
32, Federal-gov,148138, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander
29, Local-gov,30069, HS-grad,9, Married-civ-spouse, Other-service, Wife, White
68, ?,170182, Some-college,10, Never-married, ?, Unmarried, Black
27, Local-gov,230885, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White
54, Private,174102, Some-college,10, Never-married, Exec-managerial, Not-in-family, White
23, Private,352606, HS-grad,9, Divorced, Priv-house-serv, Unmarried, White
38, Private,241153, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
54, Private,155433, HS-grad,9, Married-civ-spouse, Other-service, Wife, White
21, Private,109414, Some-college,10, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander
40, Private,125461, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White
19, Private,331556, 10th,6, Never-married, Other-service, Not-in-family, White
21, ?,138575, HS-grad,9, Never-married, ?, Other-relative, White
35, Private,223514, Bachelors,13, Married-civ-spouse, Adm-clerical, Wife, Black
39, Private,115418, Some-college,10, Never-married, Adm-clerical, Own-child, White
38, Private,193026, HS-grad,9, Never-married, Other-service, Unmarried, White
41, Private,147206, 12th,8, Married-civ-spouse, Handlers-cleaners, Husband, White
26, Private,174592, Some-college,10, Never-married, Adm-clerical, Not-in-family, White
35, Private,268620, HS-grad,9, Divorced, Other-service, Not-in-family, White
70, Self-emp-not-inc,150886, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
45, Private,112362, 10th,6, Married-civ-spouse, Sales, Husband, White
83, Private,195507, HS-grad,9, Widowed, Protective-serv, Not-in-family, White
59, Private,192983, HS-grad,9, Separated, Other-service, Not-in-family, White
18, Private,120544, 9th,5, Never-married, Other-service, Own-child, Black
31, Private,59083, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White
43, Private,208277, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White
24, Local-gov,184678, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
33, Private,278736, Assoc-voc,11, Married-civ-spouse, Machine-op-inspct, Husband, White
48, Local-gov,39464, Masters,14, Never-married, Prof-specialty, Not-in-family, White
27, Private,162343, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
41, Private,204046, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
25, Private,255647, HS-grad,9, Married-civ-spouse, Other-service, Wife, White
53, Private,123011, HS-grad,9, Divorced, Transport-moving, Not-in-family, White
66, Self-emp-not-inc,291362, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
31, Private,159187, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
30, State-gov,126414, Bachelors,13, Married-spouse-absent, Adm-clerical, Not-in-family, White
22, Private,227626, HS-grad,9, Divorced, Transport-moving, Not-in-family, White
47, Self-emp-inc,173783, Bachelors,13, Married-civ-spouse, Sales, Husband, White
74, Private,211075, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
37, Private,176756, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, Black
